month,PSA,cameras
2016-08-01,203,0
2016-08-01,204,0
2016-08-01,205,0
2016-08-01,206,0
2016-08-01,207,0
2016-08-01,208,0
2016-08-01,301,0
2016-08-01,302,9
2016-08-01,303,2
2016-08-01,304,3
2016-08-01,305,3
2016-08-01,306,2
2016-08-01,307,1
2016-08-01,308,2
2016-08-01,401,1
2016-08-01,402,1
2016-08-01,403,6
2016-08-01,404,19
2016-08-01,405,3
2016-08-01,406,3
2016-08-01,407,7
2016-08-01,408,2
2016-08-01,409,3
2016-08-01,501,35
2016-08-01,502,19
2016-08-01,503,5
2016-08-01,504,7
2016-08-01,505,4
2016-08-01,506,0
2016-08-01,507,10
2016-08-01,601,4
2016-08-01,602,2
2016-08-01,603,9
2016-08-01,604,1
2016-08-01,605,2
2016-08-01,606,3
2016-08-01,607,1
2016-08-01,608,4
2016-08-01,701,1
2016-08-01,702,0
2016-08-01,703,1
2016-08-01,704,0
2016-08-01,705,0
2016-08-01,706,1
2016-08-01,707,1
2016-08-01,708,1
2016-09-01,101,0
2016-09-01,102,0
2016-09-01,103,0
2016-09-01,104,12
2016-09-01,105,1
2016-09-01,106,7
2016-09-01,107,2
2016-09-01,108,12
2016-09-01,201,3
2016-09-01,202,4
2016-09-01,203,3
2016-09-01,204,3
2016-09-01,205,0
2016-09-01,206,0
2016-09-01,207,0
2016-09-01,208,1
2016-09-01,301,2
2016-09-01,302,3
2016-09-01,303,2
2016-09-01,304,3
2016-09-01,305,4
2016-09-01,306,2
2016-09-01,307,1
2016-09-01,308,2
2016-09-01,401,4
2016-09-01,402,5
2016-09-01,403,10
2016-09-01,404,9
2016-09-01,405,7
2016-09-01,406,1
2016-09-01,407,11
2016-09-01,408,3
2016-09-01,409,6
2016-09-01,501,11
2016-09-01,502,6
2016-09-01,503,5
2016-09-01,504,3
2016-09-01,505,0
2016-09-01,506,4
2016-09-01,507,8
2016-09-01,601,2
2016-09-01,602,1
2016-09-01,603,1
2016-09-01,604,1
2016-09-01,605,1
2016-09-01,606,7
2016-09-01,607,4
2016-09-01,608,2
2016-09-01,701,2
2016-09-01,702,1
2016-09-01,703,0
2016-09-01,704,2
2016-09-01,705,0
2016-09-01,706,0
2016-09-01,707,3
2016-09-01,708,3
2016-10-01,101,0
2016-10-01,102,0
2016-10-01,103,0
2016-10-01,104,10
2016-10-01,105,0
2016-10-01,106,6
2016-10-01,107,6
2016-10-01,108,4
2016-10-01,201,1
2016-10-01,202,5
2016-10-01,203,2
2016-10-01,204,0
2016-10-01,205,3
2016-10-01,206,3
2016-10-01,207,1
2016-10-01,208,0
2016-10-01,301,0
2016-10-01,302,3
2016-10-01,303,0
2016-10-01,304,1
2016-10-01,305,1
2016-10-01,306,0
2016-10-01,307,2
2016-10-01,308,0
2016-10-01,401,2
