month,PSA,OFFENSE,crimes
2017-01-01,302,assault w/dangerous weapon,0
2017-01-01,302,burglary,0
2017-01-01,302,homicide,0
2017-01-01,302,motor vehicle theft,0
2017-01-01,302,robbery,1
2017-01-01,302,sex abuse,1
2017-01-01,302,theft f/auto,8
2017-01-01,302,theft/other,15
2017-01-01,303,arson,0
2017-01-01,303,assault w/dangerous weapon,0
2017-01-01,303,burglary,0
2017-01-01,303,homicide,0
2017-01-01,303,motor vehicle theft,0
2017-01-01,303,robbery,1
2017-01-01,303,sex abuse,0
2017-01-01,303,theft f/auto,11
2017-01-01,303,theft/other,2
2017-01-01,304,arson,0
2017-01-01,304,assault w/dangerous weapon,0
2017-01-01,304,burglary,2
2017-01-01,304,homicide,0
2017-01-01,304,motor vehicle theft,1
2017-01-01,304,robbery,1
2017-01-01,304,sex abuse,0
2017-01-01,304,theft f/auto,19
2017-01-01,304,theft/other,5
2017-01-01,305,arson,0
2017-01-01,305,assault w/dangerous weapon,0
2017-01-01,305,burglary,2
2017-01-01,305,homicide,0
2017-01-01,305,motor vehicle theft,0
2017-01-01,305,robbery,3
2017-01-01,305,sex abuse,0
2017-01-01,305,theft f/auto,35
2017-01-01,305,theft/other,10
2017-01-01,306,arson,0
2017-01-01,306,assault w/dangerous weapon,0
2017-01-01,306,burglary,1
2017-01-01,306,homicide,0
2017-01-01,306,motor vehicle theft,1
2017-01-01,306,robbery,1
2017-01-01,306,sex abuse,0
2017-01-01,306,theft f/auto,7
2017-01-01,306,theft/other,5
2017-01-01,307,arson,0
2017-01-01,307,assault w/dangerous weapon,0
2017-01-01,307,burglary,0
2017-01-01,307,homicide,0
2017-01-01,307,motor vehicle theft,0
2017-01-01,307,robbery,0
2017-01-01,307,sex abuse,1
2017-01-01,307,theft f/auto,17
2017-01-01,307,theft/other,10
2017-01-01,308,arson,0
2017-01-01,308,assault w/dangerous weapon,2
2017-01-01,308,burglary,1
2017-01-01,308,homicide,0
2017-01-01,308,motor vehicle theft,1
2017-01-01,308,robbery,0
2017-01-01,308,sex abuse,0
2017-01-01,308,theft f/auto,6
2017-01-01,308,theft/other,8
2017-01-01,401,arson,0
2017-01-01,401,assault w/dangerous weapon,0
2017-01-01,401,burglary,0
2017-01-01,401,homicide,0
2017-01-01,401,motor vehicle theft,2
2017-01-01,401,robbery,1
2017-01-01,401,sex abuse,0
2017-01-01,401,theft f/auto,6
2017-01-01,401,theft/other,4
2017-01-01,402,arson,0
2017-01-01,402,assault w/dangerous weapon,0
2017-01-01,402,burglary,2
2017-01-01,402,homicide,0
2017-01-01,402,motor vehicle theft,3
2017-01-01,402,robbery,3
2017-01-01,402,sex abuse,0
2017-01-01,402,theft f/auto,8
2017-01-01,402,theft/other,14
2017-01-01,403,arson,0
